id,name,gender,category,subcategory,subsubcategory,brand
2543,Andrélon Shampoo For Men Hair & Body 300 ml,Man,Gezond & verzorging,Haarverzorging,Shampoo,Andrelon
2555,Andrélon Shampoo Verrassend Volume 300 ml,Vrouw,Gezond & verzorging,Haarverzorging,Shampoo,Andrelon
26197,Andrélon Men Style Restyle Gum 75 ml,Man,Gezond & verzorging,Haarverzorging,Haarstyling,Andrelon
4030,Andrélon Hairspray Verrassend Volume 250 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Andrelon
23422,Andrélon Hairspray Perfecte Krul Booster 150 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Andrelon
33555,Apollo Ladies Sneaker sokken 36-41 5 Pack,Vrouw,Kleding & sieraden,Dames,Panties en sokken,Apollo
32785,Aquafresh Tingling Mint Mondwater 500 ml,Unisex,Gezond & verzorging,Mondverzorging,Mondwater & spray,Aquafresh
31857,Aquafresh Flex Protect Tandenborstel Medium,Unisex,Gezond & verzorging,Mondverzorging,Tandenborstels,Aquafresh
31852,Aquafresh Triple Protection Tandenborstel Medium,Unisex,Gezond & verzorging,Mondverzorging,Tandenborstels,Aquafresh
32846,Aquafresh Flex Protect Tandenborstel Hard,Unisex,Gezond & verzorging,Mondverzorging,Tandenborstels,Aquafresh
32845,Aquafresh Inter Espaces Flex Tandenborstel Medium,Unisex,Gezond & verzorging,Mondverzorging,Tandenborstels,Aquafresh
32947,Aquafresh Fresh & Minty Tandpasta 100 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
32944,Aquafresh Mild & Minty Tandpasta 100 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
21763,Aquafresh Tandpasta Fresh & Minty 100 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
21762,Aquafresh Whitening Pomp Tandpasta 100 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
32836,Aquafresh White & Shine Tandpasta 100 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
32842,Aquafresh Complete Care Original 75 ml,Kinderen,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
26306,Aquafresh Freshmint 75 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
32840,Aquafresh Complete Care Whitening Tandpasta 75 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
33587,Aquafresh Frisse Munt Tandpasta 75 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Aquafresh
22235,Argan Oil Intens Hydrate Hair Treatment 100ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarkuur en haarmasker,Argan
22234,Argan Oil Conditioner 150ml + 100ml gratis,Vrouw,Gezond & verzorging,Haarverzorging,Conditioner,Argan
22233,Argan Oil Shampoo 150ml + 100ml gratis,Vrouw,Gezond & verzorging,Haarverzorging,Shampoo,Argan
30791,At Home Automatic Navulling Luchtverfrisser Flower Power 250ml,Unisex,Huishouden,Toilet en keuken,Luchtverfrissers,At Home
21858,At home Ultra Citroen Afwasmiddel 500ml,Unisex,Huishouden,Wassen en schoonmaken,Afwasmiddel,At Home
